ride_id,user_type,bike_type,start_station_id,end_station_id,started_at,ended_at,month,weekday,ride_duration,start_station,end_station,start_lat,start_lng,end_lat,end_lng,distance,start_geo_point,end_geo_point,ride_path,ride_type
5EE4E8C61A0E413F,member,electric_bike,,13089,06/07/2022 20:48:22,06/07/2022 21:16:26,July,Wednesday,28,,Damen Ave & Cullerton St,41.91,-87.66,41.85496652,-87.67569959,6255.954592,POINT(-87.66 41.91),POINT(-87.6756995916366 41.8549665187539),"LINESTRING(-87.66 41.91, -87.6756995916366 41.8549665187539)",oneway_trip
D0B607FC7F5EC359,member,electric_bike,,13089,20/07/2022 01:57:40,20/07/2022 02:09:44,July,Wednesday,12,,Damen Ave & Cullerton St,41.89,-87.65,41.85496652,-87.67569959,4438.843411,POINT(-87.65 41.89),POINT(-87.6756995916366 41.8549665187539),"LINESTRING(-87.65 41.89, -87.6756995916366 41.8549665187539)",oneway_trip
DFAB0D7C408E9F45,member,electric_bike,,13089,27/05/2023 09:45:15,27/05/2023 09:51:14,May,Saturday,5,,Damen Ave & Cullerton St,41.86,-87.69,41.85496652,-87.67569959,1309.936104,POINT(-87.69 41.86),POINT(-87.6756995916366 41.8549665187539),"LINESTRING(-87.69 41.86, -87.6756995916366 41.8549665187539)",oneway_trip
BA71CCA529CF79AD,casual,electric_bike,,13089,09/07/2022 16:42:38,09/07/2022 16:45:29,July,Saturday,2,,Damen Ave & Cullerton St,41.85,-87.68,41.85496652,-87.67569959,657.1522695,POINT(-87.68 41.85),POINT(-87.6756995916366 41.8549665187539),"LINESTRING(-87.68 41.85, -87.6756995916366 41.8549665187539)",oneway_trip
EFD2DB2F9781E1AD,casual,electric_bike,,13154,03/08/2022 15:43:56,03/08/2022 15:59:23,August,Wednesday,15,,Sheffield Ave & Kingsbury St,41.94,-87.67,41.910522,-87.653106,3563.352608,POINT(-87.67 41.94),POINT(-87.653106 41.910522),"LINESTRING(-87.67 41.94, -87.653106 41.910522)",oneway_trip
70CA203D2C5CA6E7,member,electric_bike,,13154,05/12/2022 06:26:26,05/12/2022 06:32:45,December,Monday,6,,Sheffield Ave & Kingsbury St,41.92,-87.64,41.910522,-87.653106,1512.196108,POINT(-87.64 41.92),POINT(-87.653106 41.910522),"LINESTRING(-87.64 41.92, -87.653106 41.910522)",oneway_trip
56DD611B100C47C8,member,electric_bike,,13154,14/01/2023 10:27:57,14/01/2023 10:31:01,January,Saturday,3,,Sheffield Ave & Kingsbury St,41.92,-87.66,41.910522,-87.653106,1198.381811,POINT(-87.66 41.92),POINT(-87.653106 41.910522),"LINESTRING(-87.66 41.92, -87.653106 41.910522)",oneway_trip
9DF690796E7AE0D5,member,electric_bike,,13154,18/07/2022 18:42:12,18/07/2022 18:53:05,July,Monday,10,,Sheffield Ave & Kingsbury St,41.91,-87.68,41.910522,-87.653106,2226.248668,POINT(-87.68 41.91),POINT(-87.653106 41.910522),"LINESTRING(-87.68 41.91, -87.653106 41.910522)",oneway_trip
7FF6D275E44A76A8,member,electric_bike,,13154,05/08/2022 16:29:26,05/08/2022 16:39:30,August,Friday,10,,Sheffield Ave & Kingsbury St,41.92,-87.65,41.910522,-87.653106,1084.790679,POINT(-87.65 41.92),POINT(-87.653106 41.910522),"LINESTRING(-87.65 41.92, -87.653106 41.910522)",oneway_trip
21BECC259EF235D4,member,electric_bike,,13154,20/05/2023 19:31:18,20/05/2023 19:36:42,May,Saturday,5,,Sheffield Ave & Kingsbury St,41.9,-87.67,41.910522,-87.653106,1823.06376,POINT(-87.67 41.9),POINT(-87.653106 41.910522),"LINESTRING(-87.67 41.9, -87.653106 41.910522)",oneway_trip
